Rmin,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
21,"[119, 119, 115, 115, 107, 107, 95, 81, 81]",104.33333333333333,14.329456840136451,"[212.57761440175952, 212.57761440175952, 211.75387594231162, 211.75387594231162, 211.38326901252947, 211.38326901252947, 211.32001403089862, 210.95548147162037, 210.95548147162037]",211.62894396526002,0.5729476146092495,"[0.9859815139228179, 0.9859815139228179, 0.9794351338682314, 0.9794351338682314, 0.9714304642119921, 0.9714304642119921, 0.9614195360823413, 0.9485408339551276, 0.9485408339551276]",0.9702439364442976
22,"[118, 118, 114, 114, 106, 106, 94, 80, 80]",103.33333333333333,14.329456840136451,"[212.78732404824007, 212.78732404824007, 211.9700072245212, 211.9700072245212, 211.60899728259187, 211.60899728259187, 211.56052877069592, 211.21953840535775, 211.21953840535775]",211.8591402991242,0.5557903443554597,"[0.9860394997601486, 0.9860394997601486, 0.9795286840319833, 0.9795286840319833, 0.9715748268254907, 0.9715748268254907, 0.9616387671395269, 0.9488748356035839, 0.9488748356035839]",0.9704082732868822
23,"[118, 118, 118, 112, 104, 104, 92, 78, 78]",102.44444444444444,15.370325747369407,"[212.78420542721716, 212.78420542721716, 212.78420542721716, 212.3567655974786, 211.9897821128449, 211.9897821128449, 211.93315619431073, 211.58055851831645, 211.58055851831645]",212.1981354817515,0.4685007225801801,"[0.9860250483188931, 0.9860250483188931, 0.9860250483188931, 0.9795053763721338, 0.9715388731111132, 0.9715388731111132, 0.961584193259123, 0.9487917422346029, 0.9487917422346029]",0.9710917716977074
24,"[118, 118, 118, 118, 102, 102, 90, 76, 76]",102.0,16.73320053068151,"[212.7810803430157, 212.7810803430157, 212.7810803430157, 212.7810803430157, 212.37051827409118, 212.37051827409118, 212.3057056291824, 211.941451731575, 211.941451731575]",212.4504407791753,0.3315206149349649,"[0.9860105669277835, 0.9860105669277835, 0.9860105669277835, 0.9860105669277835, 0.9715028283352753, 0.9715028283352753, 0.9615294639002825, 0.9487083783866382, 0.9487083783866382]",0.9717771272283604
25,"[118, 116, 116, 116, 100, 100, 88, 74, 74]",100.22222222222223,16.95600698394248,"[214.1516605039583, 213.1723471977208, 213.1723471977208, 213.1723471977208, 212.7512055812026, 212.7512055812026, 212.67817674157516, 212.30221742458323, 212.30221742458323]",212.93930276114082,0.5357698275732847,"[0.9914428727035107, 0.9859960554936208, 0.9859960554936208, 0.9859960554936208, 0.9714666921516101, 0.9714666921516101, 0.9614745783977178, 0.9486247427371904, 0.9486247427371904]",0.9723431652621879
26,"[118, 116, 116, 116, 100, 100, 88, 88, 72]",101.55555555555556,15.428048851297584,"[214.14990145333311, 213.1692033101132, 213.1692033101132, 213.1692033101132, 212.74327166242625, 212.74327166242625, 212.66600138141388, 212.66600138141388, 212.66285497273958]",213.01543471601028,0.4563885237115663,"[0.9914347289506162, 0.9859815139228179, 0.9859815139228179, 0.9859815139228179, 0.9714304642119921, 0.9714304642119921, 0.9614195360823413, 0.9614195360823413, 0.9485408339551276]",0.9737355672514294
27,"[119, 119, 119, 113, 97, 97, 85, 71, 71]",99.0,18.76166303929372,"[213.95862420094676, 213.95862420094676, 213.95862420094676, 213.77336354800022, 213.35783197087775, 213.35783197087775, 213.29147855154707, 212.92751310944422, 212.92751310944422]",213.50126720700348,0.40070893028973364,"[0.9914672113111527, 0.9914672113111527, 0.9914672113111527, 0.9860394997601486, 0.9715748268254907, 0.9715748268254907, 0.9616387671395269, 0.9488748356035839, 0.9488748356035839]",0.9736643584101424
28,"[119, 117, 117, 111, 95, 95, 83, 69, 69]",97.22222222222223,19.00747091586053,"[215.1484888304862, 214.35346041216846, 214.35346041216846, 214.1646404948636, 213.7385520844448, 213.7385520844448, 213.66400774217712, 213.28838365433876, 213.28838365433876]",213.97088104104787,0.5628071366467626,"[0.9960578186596584, 0.9914591138398172, 0.9914591138398172, 0.9860250483188931, 0.9715388731111126, 0.9715388731111126, 0.961584193259123, 0.9487917422346029, 0.9487917422346029]",0.9741385020676377
29,"[119, 117, 117, 111, 95, 95, 83, 83, 67]",98.55555555555556,17.50625990331656,"[215.1477422183253, 214.35170641300655, 214.35170641300655, 214.16149513671456, 213.73062223376058, 213.73062223376058, 213.65184687864277, 213.65184687864277, 213.64912681267091]",214.04741280205897,0.4808808889150079,"[0.9960543621218764, 0.9914510009852292, 0.9914510009852292, 0.9860105669277835, 0.9715028283352753, 0.9715028283352753, 0.9615294639002825, 0.9615294639002825, 0.9487083783866382]",0.975526654875319
30,"[119, 119, 115, 109, 93, 93, 81, 81, 65]",97.22222222222223,18.268234590724095,"[215.14699429574375, 215.14699429574375, 214.7465262275804, 214.55274167541188, 214.11125895021488, 214.11125895021488, 214.02424115133198, 214.02424115133198, 214.00974196151014]",214.43044429545375,0.453688984804653,"[0.9960508995173322, 0.9960508995173322, 0.9914428727035107, 0.9859960554936208, 0.9714666921516101, 0.9714666921516101, 0.9614745783977178, 0.9614745783977178, 0.9486247427371904]",0.9760053345630715
