player 1,Tmax,departure time,payoff,player 2,Tmax,departure time,payoff,player 3,Tmax,departure time,payoff,player 4,Tmax,departure time,payoff
1,129,65,11.906976744186046,2,129,40,9.274621910945019,3,129,20,8.66997816088748,4,129,10,8.463944301856186
1,130,65,12.0,2,130,40,9.356666643234146,3,130,20,8.729804933264646,4,130,10,8.512334835806506
1,131,65,12.091603053435113,2,131,40,9.437458784190618,3,131,20,8.78871831980399,4,131,10,8.55998658297896
1,132,65,12.181818181818182,2,132,40,9.517026801799263,3,132,20,8.846739079274556,4,132,10,8.606916333982134
1,133,68,11.729323308270676,2,133,45,9.341289662796491,3,133,25,8.908850339150302,4,133,10,8.653140374443907
1,134,68,11.82089552238806,2,134,45,9.423571636826509,3,134,25,8.970516618806975,4,134,10,8.698674503854013
1,135,68,11.911111111111111,2,135,45,9.504634618648671,3,135,25,9.03126932395022,4,135,10,8.743534053569153
1,136,68,12.0,2,136,45,9.584505497796979,3,136,25,9.091128606959003,4,136,10,8.787733904023776
1,137,68,12.087591240875913,2,137,45,9.663210378709547,3,137,25,9.150114031821673,4,137,10,8.831288501187093
1,138,68,12.173913043478262,2,138,45,9.740774609174107,3,138,25,9.208244595454449,4,138,10,8.874211872304562
1,139,68,12.258992805755398,2,139,45,9.817222807545647,3,139,25,9.265538748099702,4,139,10,8.91651764095991
1,140,68,12.342857142857142,2,140,45,9.892578888797598,3,140,25,9.322014412850026,4,140,10,8.958219041491608
1,141,70,12.085106382978722,2,141,47,9.681825422725172,3,141,27,9.14458171629296,4,141,17,9.003155139586367
1,142,70,12.169014084507042,2,142,47,9.75713077076823,3,142,27,9.201252363548859,4,142,17,9.05011995512933
1,143,70,12.251748251748253,2,143,47,9.831382897160337,3,143,27,9.257130414339644,4,143,17,9.096427920105262
1,144,72,12.0,2,144,50,9.712804945615698,3,144,30,9.240715928577702,4,144,20,9.143496260540772
1,145,72,12.082758620689656,2,145,50,9.787670379273589,3,145,30,9.297736680224096,4,145,20,9.191174710343423
1,146,72,12.164383561643836,2,146,50,9.861510259045755,3,146,30,9.353976325683558,4,146,20,9.238200030696722
1,147,72,12.244897959183675,2,147,50,9.934345514603333,3,147,30,9.40945080589867,4,147,20,9.284585550773107
1,148,72,12.324324324324323,2,148,50,10.006196509950675,3,148,30,9.46417563097574,4,148,20,9.330344239497107
1,149,72,12.40268456375839,2,149,50,10.077083062407445,3,149,30,9.51816589464238,4,149,20,9.375488717634212
1,150,72,12.48,2,150,50,10.14702446083146,3,150,30,9.571436288126797,4,150,20,9.420031269396151
1,151,72,12.556291390728477,2,151,50,10.216039483117408,3,151,30,9.624001113485596,4,151,20,9.463983853585084
1,152,75,12.157894736842104,2,152,55,10.286313796846237,3,152,30,9.67587429640546,4,152,20,9.50735811429785
1,153,75,12.235294117647058,2,153,55,10.357178703766746,3,153,30,9.727069398502843,4,153,20,9.550165391210447
1,154,75,12.311688311688311,2,154,55,10.427123287220757,3,154,30,9.777599629144415,4,154,20,9.592416729461842
1,155,75,12.387096774193548,2,155,55,10.271615895101203,3,155,35,9.828520914503322,4,155,20,9.634122889155153
1,156,75,12.461538461538463,2,156,55,10.340058679827333,3,156,35,9.881773736918595,4,156,20,9.675294354493422
1,157,75,12.535031847133759,2,157,55,10.407629581945487,3,157,35,9.934348179430488,4,157,20,9.715941342566238
1,158,75,12.60759493670886,2,158,55,10.474345156188726,3,158,35,9.98625712267008,4,158,20,9.756073811802688
1,159,75,12.679245283018869,2,159,55,10.540221540818845,3,159,35,10.037513123227411,4,159,20,9.795701470105344
1,160,75,12.75,2,160,55,10.605274470641085,3,160,35,10.088128423777778,4,160,20,9.83483378267922
1,161,75,12.819875776397517,2,161,55,10.669519289533858,3,161,35,10.13811496283062,4,161,20,9.873479979568948
1,162,78,12.444444444444443,2,162,60,10.73490469116087,3,162,35,10.187484384117385,4,162,20,9.911649062916824
1,163,78,12.515337423312882,2,163,60,10.800763002149585,3,163,35,10.236248045633754,4,163,20,9.949349813953686
1,164,78,12.585365853658537,2,164,60,10.865818163004295,3,164,35,10.284417028351145,4,164,20,9.986590799734001
1,165,78,12.654545454545453,2,165,60,10.930084776454702,3,165,35,10.332002144611355,4,165,20,10.02338037962607
