k,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
7.300000000000001,"[109, 95, 85, 80]",92.25,11.07643895843786,"[2.1999999999999997, 0.6079716165935837, 0.48464315437923855, 0.47261172803031626]",0.9413066247507845,0.7286353120634178,"[1.0, 0.3377620092186576, 0.18640121322278405, 0.14769116500947382]",0.4179635968627289
7.4,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.6005479417879453, 0.474029197790854, 0.460864352439699]",0.8338603730046246,0.5604607424753303,"[1.0, 0.4289628155628181, 0.18231892222725155, 0.14402011013740593]",0.43882546198186884
7.5,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5939374045770881, 0.46365801668082307, 0.4494208242552642]",0.8267540613782938,0.564719036831686,"[1.0, 0.42424100326934866, 0.17833000641570118, 0.14044400757977005]",0.435753754316205
7.6000000000000005,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5874051639156596, 0.4535238223190656, 0.4382729785262218]",0.8198004911902367,0.568884985363674,"[1.0, 0.41957511708261397, 0.17443223935348676, 0.13696030578944432]",0.43274191555638625
7.7,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5809502270439527, 0.44362096960992786, 0.4274128779124013]",0.8129960186415705,0.5729603812388022,"[1.0, 0.41496444788853765, 0.17062344984997224, 0.1335665243476254]",0.42978860552153386
7.800000000000001,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5745716146177764, 0.43394395338933817, 0.41683280611105167]",0.8063370935295415,0.5769470187225568,"[1.0, 0.4104082961555546, 0.16690152053436083, 0.13026025190970364]",0.4268925171499048
7.9,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5682683605159847, 0.4244874048209897, 0.40652526148003987]",0.7998202567042536,0.5808466885716846,"[1.0, 0.405905971797132, 0.16326438646961142, 0.12703914421251244]",0.424052375619814
8.0,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5620395116509517, 0.415246087888817, 0.3964829508514145]",0.7934421375977958,0.5846611740180406,"[1.0, 0.4014567940363941, 0.15971003380339116, 0.12390092214106702]",0.42126693749521305
8.1,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5558841277819042, 0.40621489598308796, 0.3866987835294063]",0.7871994518235995,0.5883922472755778,"[1.0, 0.39706009127278874, 0.15623649845503382, 0.12084336985293946]",0.41853498989519045
8.200000000000001,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5498012813310903, 0.3973888485775336, 0.37716586546724046]",0.781088998843966,0.5920416665109944,"[1.0, 0.39271520095077883, 0.15284186483751291, 0.11786433295851263]",0.4158553496867011
8.3,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5437900572027325, 0.3887630879949966, 0.3678774936172151]",0.7751076597037361,0.5956111732255427,"[1.0, 0.3884214694305233, 0.14952426461346022, 0.11496171675537972]",0.4132268626998408
8.4,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5378495526047112, 0.38033287625914747, 0.3588271504487344]",0.7692523948281483,0.5991024900015933,"[1.0, 0.3841782518605081, 0.14628187548428748, 0.1121334845152295]",0.41064840296500627
8.5,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5319788768729524, 0.3720935920299178, 0.35000849862914135]",0.7635202418830029,0.6025173185728862,"[1.0, 0.37998491205210894, 0.14311292001150686, 0.10937765582160666]",0.4081188719713056
8.6,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5261771512984569, 0.36404072762030903, 0.341415375862336]",0.7579083136952754,0.6058573381821084,"[1.0, 0.37584082235604066, 0.14001566446934963, 0.10669230495698]",0.40563719794559255
8.700000000000001,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5204435089569525, 0.3561698860923754, 0.3330417898803605]",0.752413796232422,0.6091242041935404,"[1.0, 0.37174536354068033, 0.13698841772783668, 0.10407555933761264]",0.4032023351515324
8.8,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5147770945411009, 0.34847677843018665, 0.32488191358326673]",0.7470339466386385,0.6123195469321517,"[1.0, 0.36769792467221496, 0.1340295301654564, 0.10152559799477084]",0.40081326320811056
8.9,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.50917706419524, 0.34095722078764074, 0.31693008032269904]",0.7417660913263948,0.6154449707237271,"[1.0, 0.3636979029966, 0.13113739261063104, 0.09904065010084344]",0.39846898642701856
9.0,"[111, 100, 85, 80]",94.0,12.267844146385297,"[1.7999999999999998, 0.5036425853526154, 0.33360713180911145, 0.3091807793248517]",0.7366076241216446,0.618502053113398,"[1.0, 0.35974470382329676, 0.1283104353111967, 0.09661899353901615]",0.3961685331683774
9.1,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.38664935661830757, 0.32688902206852777, 0.301628651248489]",0.6537917574838311,0.547165274930954,"[1.0, 0.32220779718192294, 0.16344451103426388, 0.0942589535151528]",0.3949778154328349
9.200000000000001,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.38205620661343914, 0.3207302037063038, 0.2942684838739571]",0.649263723548425,0.5498307053809729,"[1.0, 0.3183801721778659, 0.1603651018531519, 0.0919589012106116]",0.3926760438104074
9.3,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.37752146812717696, 0.3146931087842459, 0.28709520791916715]",0.6448274462076475,0.5524418812175259,"[1.0, 0.31460122343931407, 0.15734655439212294, 0.08971725247473973]",0.3904162575765442
9.4,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.37304434948492216, 0.3087752193629434, 0.28010389297868715]",0.6404808654566381,0.5549998778316851,"[1.0, 0.3108702912374351, 0.1543876096814717, 0.08753246655583972]",0.38819759186868663
9.5,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.3686240704029184, 0.3029740719047191, 0.2732897435822169]",0.6362219714724636,0.5575057599561063,"[1.0, 0.3071867253357653, 0.15148703595235954, 0.08540304486944278]",0.3860192015393919
9.600000000000001,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.36425986181486203, 0.29728725604828715, 0.26664809536879325]",0.6320488033079856,0.5599605805879734,"[1.0, 0.3035498848457183, 0.14864362802414358, 0.0833275298027479]",0.38388026066815245
9.700000000000001,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.3599509657012957, 0.29171241341214876, 0.26017441137324304]",0.627959447621672,0.5623653800582386,"[1.0, 0.29995913808441305, 0.14585620670607438, 0.08130450355413844]",0.3817799620861565
9.8,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.3556966349217414, 0.2862472364259917, 0.253864278421448]",0.6239520374422953,0.5647211852323776,"[1.0, 0.29641386243478446, 0.14312361821299585, 0.0793325870067025]",0.3797175169136207
9.9,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.3514961330495206, 0.2808894671894451, 0.24771340363115757]",0.6200247509675308,0.5670290088293268,"[1.0, 0.2929134442079338, 0.14044473359472254, 0.07741043863473673]",0.37769215410934825
10.0,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.34734873420922524, 0.27563689635750693, 0.2417176110151374]",0.6161758103954674,0.5692898488466072,"[1.0, 0.28945727850768765, 0.13781844817875347, 0.07553675344223043]",0.3757031200321679
10.100000000000001,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.3432537229167788, 0.2704873620519937, 0.23587283818355656]",0.6124034807880823,0.5715046880808164,"[1.0, 0.28604476909731563, 0.13524368102599685, 0.07371026193236142]",0.3737496780139185
10.200000000000001,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.33921039392206626, 0.2654387487983953, 0.2301751331426449]",0.6087060689657766,0.5736744937337245,"[1.0, 0.2826753282683885, 0.13271937439919765, 0.07192972910707653]",0.3718311079436657
10.3,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.33521805205406663, 0.2604889864875056, 0.22462065118667468]",0.6050819224320617,0.5758002170951785,"[1.0, 0.27934837671172214, 0.1302444932437528, 0.07019395349583583]",0.3699467058628277
10.4,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.33127601206846674, 0.2556360493612353, 0.21920565188049188]",0.6015294283275485,0.577882793294862,"[1.0, 0.2760633433903889, 0.12781802468061765, 0.0685017662126537]",0.3680957835709151
10.5,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.3273835984976995, 0.2508779550220242, 0.21392649612985612]",0.598047012412395,0.5799231411157362,"[1.0, 0.27281966541474956, 0.1254389775110121, 0.06685203004058003]",0.3662776682415854
10.600000000000001,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.3235401455033697, 0.24621276346527038, 0.208779643336935]",0.5946331380763938,0.5819221628626818,"[1.0, 0.2696167879194747, 0.12310638173263519, 0.06524363854279218]",0.3644917020487255
10.700000000000001,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.3197449967310364, 0.24163857613423972, 0.20376164863842902]",0.5912863053759263,0.5838807442804804,"[1.0, 0.2664541639425303, 0.12081928806711986, 0.06367551519950906]",0.3627372418022898
10.8,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.31599750516729647, 0.23715353499689334, 0.19886916022380563]",0.5880050500969989,0.5857997545158464,"[1.0, 0.26333125430608034, 0.11857676749844667, 0.06214661256993925]",0.36101365859361656
10.9,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.3122970329991463, 0.23275582164411704, 0.1940989167312751]",0.5847879428436347,0.5876800461187176,"[1.0, 0.26024752749928853, 0.11637791082205852, 0.06065591147852347]",0.35932033744996766
11.0,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.3086429514755742, 0.22844365640883893, 0.18944774471916176]",0.5816335881508937,0.5895224550784804,"[1.0, 0.25720245956297844, 0.11422182820441946, 0.059202420224738046]",0.357656676998034
11.100000000000001,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.30503464077134546, 0.22421529750551686, 0.18491255621041341]",0.5785406236218189,0.5913278008912164,"[1.0, 0.25419553397612116, 0.11210764875275843, 0.05778517381575419]",0.35602208913615846
11.200000000000001,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.3014714898529558, 0.22006904018952833, 0.18049034630807784]",0.5755077190876405,0.5930968866544228,"[1.0, 0.2512262415441298, 0.11003452009476417, 0.05640323322127432]",0.35441599871504204
11.3,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.2979528963466966, 0.21600321593596325, 0.17617819087960288]",0.5725335757905657,0.5948304991860176,"[1.0, 0.24829408028891378, 0.10800160796798162, 0.0550556846498759]",0.3528378432266928
11.4,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.2944782664088162, 0.21201619163737145, 0.1719732443079349]",0.5696169255885306,0.596529409164719,"[1.0, 0.24539855534068014, 0.10600809581868573, 0.05374163884622965]",0.3512870725013989
11.5,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.291047014597734, 0.20810636882000275, 0.1678727373074017]",0.5667565301812847,0.5981943712891871,"[1.0, 0.24253917883144496, 0.10405318441000137, 0.052460230408563034]",0.3497631484125024
11.600000000000001,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.28765856374826837, 0.20427218287808924, 0.16387397480246013]",0.5639511803572045,0.5998261244535613,"[1.0, 0.2397154697902236, 0.10213609143904462, 0.05121061712576879]",0.3482655445887592
11.700000000000001,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.28431234484785695, 0.20051210232575556, 0.15997433386744317]",0.5611996952602639,0.6014253919372422,"[1.0, 0.23692695403988073, 0.10025605116287778, 0.049991979333575985]",0.34679374613408365
11.8,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.28100779691472155, 0.1968246280661211, 0.15617126172548113]",0.558500921676581,0.6029928816069887,"[1.0, 0.23417316409560124, 0.09841231403306056, 0.048803519289212845]",0.3453472493544687
11.9,"[112, 100, 90, 80]",95.5,11.863810517704673,"[1.6, 0.2777443668779619, 0.1932082926771866, 0.15246227380485572]",0.5558537333400011,0.6045292861295787,"[1.0, 0.2314536390649682, 0.0966041463385933, 0.04764446056401741]",0.34392556149189474
12.0,"[114, 102, 92, 87]",98.75,10.328964130056798,"[1.2000000000000002, 0.18348860143150417, 0.152432021104066, 0.1490778520838852]",0.4212496186548639,0.4498118576215038,"[1.0, 0.2293607517893802, 0.09527001319004125, 0.06776266003812964]",0.3480983562543878
12.100000000000001,"[114, 102, 92, 87]",98.75,10.328964130056798,"[1.2000000000000002, 0.18136473891041274, 0.14964158200876426, 0.14596480741863804]",0.41924278208445376,0.4509804472677383,"[1.0, 0.22670592363801592, 0.09352598875547766, 0.06634763973574458]",0.34664488803230953
12.200000000000001,"[114, 102, 92, 87]",98.75,10.328964130056798,"[1.2000000000000002, 0.1792671940750886, 0.14690473001675228, 0.14291965966492545]",0.4172728959391916,0.4521274922379945,"[1.0, 0.22408399259386072, 0.09181545626047018, 0.06496348166587522]",0.34521573263005156
12.3,"[114, 102, 92, 87]",98.75,10.328964130056798,"[1.2000000000000002, 0.17719561935833872, 0.1442203880334014, 0.13994086504145803]",0.41533921810829955,0.4532534029540174,"[1.0, 0.2214945241979234, 0.09013774252087588, 0.06360948410975366]",0.3438104377071382
12.4,"[114, 102, 92, 87]",98.75,10.328964130056798,"[1.2000000000000002, 0.17514967206601217, 0.14158750157693886, 0.13702691629599267]",0.41344102248473596,0.454358582983838,"[1.0, 0.2189370900825152, 0.08849218848558679, 0.062284961952723955]",0.34242856013020645
12.5,"[114, 102, 92, 87]",98.75,10.328964130056798,"[1.2000000000000002, 0.1731290143047199, 0.13900503828351837, 0.1341763418072623]",0.4115775985988752,0.4554434290582747,"[1.0, 0.21641126788089987, 0.08687814892719899, 0.06098924627602832]",0.3410696657710318
12.600000000000001,"[114, 102, 92, 87]",98.75,10.328964130056798,"[1.2000000000000002, 0.17113331291068104, 0.1364719874235636, 0.1313877047098041]",0.4097482512610122,0.4565083310965428,"[1.0, 0.2139166411383513, 0.08529499213972724, 0.05972168395900187]",0.3397333293092701
12.700000000000001,"[114, 102, 92, 87]",98.75,10.328964130056798,"[1.2000000000000002, 0.16916223937968755, 0.13398735942911874, 0.12865960204109314]",0.4079523002124749,0.4575536722400757,"[1.0, 0.2114527992246094, 0.0837420996431992, 0.05848163729140598]",0.3384191340398036
12.8,"[114, 102, 92, 87]",98.75,10.328964130056798,"[1.2000000000000002, 0.16721546979815713, 0.13155018543194716, 0.1259906639103902]",0.4061890797851237,0.45857982889373716,"[1.0, 0.2090193372476964, 0.08221886589496698, 0.05726848359563192]",0.33712667168457383
12.9,"[114, 102, 92, 87]",98.75,10.328964130056798,"[1.2000000000000002, 0.1652926847752653, 0.12915951681211854, 0.12337955268872527]",0.40445793856902734,0.459587170773673,"[1.0, 0.2066158559690816, 0.08072469800757408, 0.05608161485851149]",0.33585554220879177
